Timestamp,User,Event,Comments
2025-02-10 00:00:24,    SYSTEM    ,    Program Started,    
2025-02-10 13:47:57,    SYSTEM    ,    Program Started,    
2025-02-10 13:48:29,    SYSTEM    ,    Program Started,    
2025-02-10 13:48:44,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-10 13:48:48,    SYSTEM    ,    Program End,    
2025-02-10 13:49:30,    SYSTEM    ,    Program Started,    
2025-02-10 13:49:46,    SYSTEM    ,    Program Started,    
2025-02-10 13:49:59,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-10 13:50:10,    SYSTEM    ,    Program End,    
2025-02-10 13:50:31,    SYSTEM    ,    Program Started,    
2025-02-10 13:50:43,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-10 13:50:47,    SYSTEM    ,    Program End,    
2025-02-10 13:51:03,    SYSTEM    ,    Program Started,    
2025-02-10 13:51:22,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-10 13:51:28,    SYSTEM    ,    Program End,    
2025-02-10 13:52:21,    SYSTEM    ,    Program Started,    
2025-02-10 13:52:32,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-10 13:52:41,    SYSTEM    ,    Program End,    
2025-02-10 13:59:44,    SYSTEM    ,    Program Started,    
2025-02-10 13:59:55,    SYSTEM    ,    Program Started,    
2025-02-10 14:00:03,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-10 14:00:09,    SYSTEM    ,    Program End,    
