Timestamp,User,Event,Comments
2025-02-09 18:02:12,    SYSTEM    ,    Program End,    
2025-02-09 23:26:30,    SYSTEM    ,    Program Started,    
2025-02-09 23:26:43,    SYSTEM    ,    Program End,    
2025-02-09 23:30:14,    SYSTEM    ,    Program Started,    
2025-02-09 23:30:40,    SYSTEM    ,    Program End,    
2025-02-09 23:31:41,    SYSTEM    ,    Program Started,    
2025-02-09 23:31:54,    SYSTEM    ,    Program End,    
2025-02-09 23:33:22,    SYSTEM    ,    Program Started,    
2025-02-09 23:33:29,    Click Chec,    ERROR,    High Press either not found or faulty
2025-02-09 23:33:31,    Click Chec,    ERROR,    Lox Dome Reg either not found or faulty
2025-02-09 23:33:32,    Click Chec,    ERROR,    Lox Dome Vent either not found or faulty
2025-02-09 23:33:34,    Click Chec,    ERROR,    Fuel Dome Vent either not found or faulty
2025-02-09 23:33:37,    Click Chec,    ERROR,    Lox Main Valve either not found or faulty
2025-02-09 23:33:50,    SYSTEM    ,    Program End,    
2025-02-09 23:34:08,    SYSTEM    ,    Program Started,    
2025-02-09 23:34:15,    SYSTEM    ,    Program End,    
2025-02-09 23:35:02,    SYSTEM    ,    Program Started,    
2025-02-09 23:35:34,    SYSTEM    ,    Program End,    
2025-02-09 23:39:17,    SYSTEM    ,    Program Started,    
2025-02-09 23:39:40,    SYSTEM    ,    Program End,    
2025-02-09 23:42:07,    SYSTEM    ,    Program Started,    
2025-02-09 23:42:15,    SYSTEM    ,    Program End,    
2025-02-09 23:42:46,    SYSTEM    ,    Program Started,    
2025-02-09 23:43:13,    SYSTEM    ,    Program End,    
2025-02-09 23:45:01,    SYSTEM    ,    Program Started,    
2025-02-09 23:45:32,    SYSTEM    ,    Program End,    
2025-02-09 23:45:50,    SYSTEM    ,    Program Started,    
2025-02-09 23:46:18,    SYSTEM    ,    Program Started,    
2025-02-09 23:46:32,    SYSTEM    ,    Program End,    
2025-02-09 23:47:05,    SYSTEM    ,    Program Started,    
2025-02-09 23:47:49,    ClickTest ,    DEBUG,    startTest2: 'builtin_function_or_method' object is not subscriptable
2025-02-09 23:48:08,    SYSTEM    ,    Program End,    
2025-02-09 23:48:50,    SYSTEM    ,    Program Started,    
2025-02-09 23:49:05,    ClickTest ,    DEBUG,    startTest2: 'builtin_function_or_method' object is not subscriptable
2025-02-09 23:49:10,    SYSTEM    ,    Program End,    
2025-02-09 23:50:08,    SYSTEM    ,    Program Started,    
2025-02-09 23:50:21,    ClickTest ,    DEBUG,    startTest2: 'builtin_function_or_method' object is not subscriptable
2025-02-09 23:50:23,    SYSTEM    ,    Program End,    
2025-02-09 23:50:38,    SYSTEM    ,    Program Started,    
2025-02-09 23:50:52,    ClickTest ,    DEBUG,    startTest2: 'builtin_function_or_method' object is not subscriptable
2025-02-09 23:50:55,    SYSTEM    ,    Program End,    
2025-02-09 23:51:23,    SYSTEM    ,    Program Started,    
2025-02-09 23:51:31,    ClickTest ,    DEBUG,    startTest2: 'builtin_function_or_method' object is not subscriptable
2025-02-09 23:51:35,    SYSTEM    ,    Program End,    
2025-02-09 23:52:09,    SYSTEM    ,    Program Started,    
2025-02-09 23:52:26,    SYSTEM    ,    Program End,    
2025-02-09 23:53:51,    SYSTEM    ,    Program Started,    
2025-02-09 23:55:50,    SYSTEM    ,    Program Started,    
2025-02-09 23:56:08,    SYSTEM    ,    Program Started,    
2025-02-09 23:57:27,    SYSTEM    ,    Program Started,    
2025-02-09 23:58:20,    SYSTEM    ,    Program Started,    
2025-02-09 23:58:34,    SYSTEM    ,    Program End,    
2025-02-09 23:59:01,    SYSTEM    ,    Program Started,    
2025-02-09 23:59:36,    SYSTEM    ,    Program Started,    
