Timestamp,User,Event,Comments
2025-02-03 22:51:44,    SYSTEM    ,    Program Started,    
2025-02-03 22:51:48,              ,    Leak Test Started,    
2025-02-03 22:51:54,              ,    Leak Test Completed,"    {'FTPT': [50.9, 50.4, 51.41, 51.33, 51.7, 50.39], 'LTPT': [51.02, 51.58, 50.75, 51.69, 51.27, 50.15], 'Pneum': [51.93, 50.77, 51.99, 50.54, 51.08, 51.55], 'HPPT': [50.23, 51.67, 51.47, 51.21, 51.22, 51.66]}"
2025-02-03 22:51:55,    SYSTEM    ,    Program End,    
2025-02-03 22:52:37,    SYSTEM    ,    Program Started,    
2025-02-03 22:52:41,              ,    Leak Test Started,    
2025-02-03 22:52:47,              ,    Leak Test Completed,"    {'FTPT': [51.62, 50.87, 50.31, 51.34, 50.68, 51.37], 'LTPT': [51.12, 51.1, 51.59, 51.7, 50.21, 51.41], 'Pneum': [50.82, 50.34, 51.99, 51.26, 51.63, 51.33], 'HPPT': [51.15, 50.91, 51.29, 51.45, 50.77, 50.94]}"
2025-02-03 22:52:55,    SYSTEM    ,    Program End,    
2025-02-03 22:58:45,    SYSTEM    ,    Program Started,    
2025-02-03 22:58:49,              ,    Leak Test Started,    
2025-02-03 22:58:55,              ,    Leak Test Completed,"    {'FTPT': [51.42, 50.97, 51.81, 50.15, 50.43, 51.45], 'LTPT': [50.54, 50.72, 51.19, 51.16, 51.93, 51.6], 'Pneum': [50.68, 51.29, 50.45, 50.73, 51.39, 51.36], 'HPPT': [51.05, 50.28, 50.17, 50.06, 51.0, 50.94]}"
2025-02-03 22:58:58,    SYSTEM    ,    Program End,    
2025-02-03 22:59:10,    SYSTEM    ,    Program Started,    
2025-02-03 22:59:14,              ,    Leak Test Started,    
2025-02-03 22:59:20,              ,    Leak Test Completed,"    {'FTPT': [54.13, 53.87, 52.74, 51.03, 52.49, 50.38], 'LTPT': [51.74, 51.98, 50.94, 50.35, 51.29, 50.74], 'Pneum': [51.62, 51.0, 51.71, 50.84, 50.55, 50.0], 'HPPT': [51.3, 50.15, 51.55, 50.46, 50.61, 50.34]}"
2025-02-03 22:59:24,    SYSTEM    ,    Program End,    
2025-02-03 23:00:13,    SYSTEM    ,    Program Started,    
2025-02-03 23:00:16,              ,    Leak Test Started,    
2025-02-03 23:00:22,              ,    Leak Test Completed,"    {'FTPT': [50.67, 52.79, 53.12, 54.18, 51.53, 51.84], 'LTPT': [51.69, 51.94, 50.27, 50.01, 50.72, 50.67], 'Pneum': [50.47, 50.17, 51.56, 50.04, 50.38, 51.91], 'HPPT': [51.57, 50.66, 50.19, 51.62, 51.38, 51.41]}"
2025-02-03 23:00:47,    SYSTEM    ,    Program End,    
2025-02-03 23:02:27,    SYSTEM    ,    Program Started,    
2025-02-03 23:02:32,              ,    Leak Test Started,    
2025-02-03 23:03:18,    SYSTEM    ,    Program Started,    
2025-02-03 23:03:19,    SYSTEM    ,    Program End,    
2025-02-03 23:03:49,    SYSTEM    ,    Program Started,    
2025-02-03 23:03:54,              ,    Leak Test Started,    
2025-02-03 23:04:48,    SYSTEM    ,    Program Started,    
2025-02-03 23:04:51,              ,    Leak Test Started,    
2025-02-03 23:05:15,    SYSTEM    ,    Program Started,    
2025-02-03 23:05:19,              ,    Leak Test Started,    
2025-02-03 23:07:09,    SYSTEM    ,    Program Started,    
2025-02-03 23:07:13,              ,    Leak Test Started,    
2025-02-03 23:07:16,              ,    Leak Test Completed,"    {'FTPT': [54.64, 54.27, 51.76, 51.24, 54.62, 52.84], 'LTPT': [50.47, 51.13, 51.78, 50.29, 50.86, 50.15], 'Pneum': [51.54, 50.75, 51.07, 51.45, 51.86, 50.73], 'HPPT': [59.12, 50.2, 74.77, 54.47, 62.1, 56.19]}"
2025-02-03 23:07:18,    SYSTEM    ,    Program End,    
