Timestamp,User,Event,Comments
2025-02-06 00:05:07,    SYSTEM    ,    Program Started,    
2025-02-06 00:05:31,    SYSTEM    ,    Program End,    
2025-02-06 00:06:53,    SYSTEM    ,    Program Started,    
2025-02-06 00:07:15,    SYSTEM    ,    Program End,    
2025-02-06 00:08:27,    SYSTEM    ,    Program Started,    
2025-02-06 00:08:42,              ,    Calibration Equation Updated,    
2025-02-06 00:08:49,    SYSTEM    ,    Program End,    
2025-02-06 13:32:15,    SYSTEM    ,    Program Started,    
2025-02-06 13:32:37,              ,    Calibration Equation Updated,    
2025-02-06 13:32:41,    SYSTEM    ,    Program End,    
2025-02-06 13:33:02,    SYSTEM    ,    Program Started,    
2025-02-06 13:33:12,    SYSTEM    ,    ERROR,    Verified Users file does not exist
2025-02-06 13:33:12,    KYLAH     ,    LOGIN,    Fire Control Login
2025-02-06 13:33:19,    SYSTEM    ,    Program End,    
2025-02-06 14:02:07,    SYSTEM    ,    Program Started,    
2025-02-06 14:03:16,    SYSTEM    ,    Program End,    
2025-02-06 14:07:49,    SYSTEM    ,    Program Started,    
2025-02-06 14:20:00,    SYSTEM    ,    Program Started,    
2025-02-06 14:20:49,    SYSTEM    ,    Program End,    
2025-02-06 14:21:01,    SYSTEM    ,    Program Started,    
2025-02-06 14:21:46,    SYSTEM    ,    Program End,    
2025-02-06 14:24:40,    SYSTEM    ,    Program Started,    
2025-02-06 14:25:25,    SYSTEM    ,    Program End,    
2025-02-06 14:26:26,    SYSTEM    ,    Program Started,    
2025-02-06 14:27:17,    SYSTEM    ,    Program End,    
2025-02-06 14:57:06,    SYSTEM    ,    Program Started,    
2025-02-06 14:57:19,    SYSTEM    ,    Program End,    
2025-02-06 14:59:16,    SYSTEM    ,    Program Started,    
2025-02-06 14:59:29,    SYSTEM    ,    Program End,    
2025-02-06 14:59:44,    SYSTEM    ,    Program Started,    
2025-02-06 14:59:48,    SYSTEM    ,    Program End,    
2025-02-06 15:00:09,    SYSTEM    ,    Program Started,    
2025-02-06 15:05:03,    SYSTEM    ,    Program Started,    
2025-02-06 15:09:43,    SYSTEM    ,    Program Started,    
2025-02-06 15:10:35,    SYSTEM    ,    Program Started,    
2025-02-06 15:10:39,    SYSTEM    ,    Program End,    
2025-02-06 15:19:45,    SYSTEM    ,    Program Started,    
2025-02-06 15:20:10,    SYSTEM    ,    Program End,    
2025-02-06 15:20:30,    SYSTEM    ,    Program Started,    
2025-02-06 15:22:14,    SYSTEM    ,    Program Started,    
2025-02-06 15:22:50,    SYSTEM    ,    Program End,    
2025-02-06 15:23:43,    SYSTEM    ,    Program Started,    
2025-02-06 15:24:09,    SYSTEM    ,    Program Started,    
2025-02-06 15:25:04,    SYSTEM    ,    Program End,    
2025-02-06 17:41:31,    SYSTEM    ,    Program Started,    
2025-02-06 17:41:45,    SYSTEM    ,    ERROR,    Verified Users file does not exist
2025-02-06 17:41:45,    KYLAH     ,    LOGIN,    Fire Control Login
2025-02-06 21:28:38,    SYSTEM    ,    Program Started,    
2025-02-06 21:29:17,    SYSTEM    ,    Program Started,    
2025-02-06 21:29:47,    SYSTEM    ,    ERROR,    Verified Users file does not exist
2025-02-06 21:29:47,    KYLAH     ,    LOGIN,    Fire Control Login
2025-02-06 21:29:50,    SYSTEM    ,    Program End,    
2025-02-06 21:34:28,    SYSTEM    ,    Program Started,    
2025-02-06 21:34:49,    SYSTEM    ,    ERROR,    Verified Users file does not exist
2025-02-06 21:34:49,    KYLAH     ,    LOGIN,    Fire Control Login
2025-02-06 21:34:53,    SYSTEM    ,    Program End,    
